"corpus_id","scheme","stratum","dataset_id","analysis_id","source_key","source_article","source_year","outcome_slug","analysis_variant","parent_dataset_id","exclusion_reason","path_stratum","legacy_basename","has_excl_variant","positive_effect_interpretation","schema_version","estimand_version","n_studies","baseline_engine","baseline_model_family","baseline_model_averaged","baseline_bias_adjusted","mu_RE","mu_RE_lCI","mu_RE_uCI","mu_BC","mu_BC_lCI","mu_BC_uCI","tau_RE","tau_RE_lCI","tau_RE_uCI","tau_BC","tau_BC_lCI","tau_BC_uCI","prior_p_effect","post_p_effect","log10BF_effect","prior_p_het","post_p_het","log10BF_het","prior_p_bias","post_p_bias","log10BF_bias","prior_p_no_bias","post_p_no_bias","log10BF_no_bias","prior_p_muplus_omega0","post_p_muplus_omega0","log10BF_muplus_omega0","prior_p_mu0_omega0","post_p_mu0_omega0","log10BF_mu0_omega0","prior_p_muplus_omegaplus","post_p_muplus_omegaplus","log10BF_muplus_omegaplus","prior_p_mu0_omegaplus","post_p_mu0_omegaplus","log10BF_mu0_omegaplus","prior_p_rigor_effect","post_p_rigor_effect","log10BF_rigor_effect","prior_p_rigor_no_effect","post_p_rigor_no_effect","log10BF_rigor_no_effect","log10BF_rigor","rigor_direction","rigor_margin","rigor_category","family_evidence_uncertain","partition_ok","unresolved_labels","component_probability_validation_ok","component_bf_validation_ok","component_validation_ok","validation_failure_reason","max_abs_diff_component_prior","max_abs_diff_component_post","max_abs_diff_component_bf","sample","burnin","adapt","chains","thin","seed","model_type","effect_direction","config_hash","script_hash","robma_version","bayestools_version","measure","fit_engine","run_id"
"nutrition_v4","nutrition_domain","caffeine","cai2012_caffeine_hdl_cholesterol","nutrition_v4__caffeine__cai2012__hdl_cholesterol__main","cai2012","cai2012",2012,"hdl_cholesterol","main",NA,NA,"caffeine","cai2012_caffeine_hdl_cholesterol",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",17,"brma","muplus_tauplus_omega0",FALSE,FALSE,-0.00420387613965263,-0.104904875502132,0.0973690876029987,-0.000915347308094271,-0.023588535704275,0,0.0871344607947332,0.00348912447368362,0.243794344557271,0.0150876814839653,0,0.146711426582944,0.5,0.0617,-1.18205655229251,0.5,0.199633333333333,-0.603055934662869,0.5,0.231766666666667,-0.520442172433786,0.5,0.768233333333333,0.520442172433786,0.25,0.0442333333333333,-0.85748095712326,0.25,0.724,0.895950738851592,0.25,0.0174666666666667,-1.27301600614736,0.25,0.2143,-0.0871133273834035,0.25,0.0442333333333333,-0.85748095712326,0.25,0.724,0.895950738851592,0.895950738851592,"no_effect",1.75343169597485,"clean_no_effect_supported",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T153915_cai2012_caffeine_hdl_cholesterol"
"nutrition_v4","nutrition_domain","caffeine","cai2012_caffeine_ldl_cholesterol","nutrition_v4__caffeine__cai2012__ldl_cholesterol__main","cai2012","cai2012",2012,"ldl_cholesterol","main",NA,NA,"caffeine","cai2012_caffeine_ldl_cholesterol",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",15,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.233809377567947,0.0539653644015893,0.410079584048388,0.0949161508742379,-0.0612631592947981,0.360695507545436,0.236389337434843,0.0464554084374054,0.450332209185001,0.229511065738103,0,0.468231598970519,0.5,0.5027,0.00469042599585037,0.5,0.887433333333333,0.896725931526368,0.5,0.599866666666667,0.175849997740714,0.5,0.400133333333333,-0.175849997740714,0.25,0.326533333333333,0.162732671332027,0.25,0.0736,-0.6227994773262,0.25,0.176166666666667,-0.192794368433688,0.25,0.4237,0.343531099139296,0.25,0.326533333333333,0.162732671332027,0.25,0.0736,-0.6227994773262,0.162732671332027,"effect",0.785532148658227,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T153943_cai2012_caffeine_ldl_cholesterol"
"nutrition_v4","nutrition_domain","caffeine","cai2012_caffeine_total_cholesterol","nutrition_v4__caffeine__cai2012__total_cholesterol__main","cai2012","cai2012",2012,"total_cholesterol","main",NA,NA,"caffeine","cai2012_caffeine_total_cholesterol",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",22,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.318569655503154,0.180706472837051,0.47008013245837,0.054857706233285,-0.103221444459153,0.360701866825264,0.239345118238402,0.0990352756030367,0.412489993222549,0.269545666749334,0,0.504720946434642,0.5,0.350533333333333,-0.267827543465407,0.5,0.9733,1.5617354620108,0.5,0.9229,1.07810026793597,0.5,0.0771,-1.07810026793597,0.25,0.0765333333333333,-0.604449340095806,0.25,0.000566666666666667,-2.76930490866057,0.25,0.274,0.0539351968399568,0.25,0.6489,0.743868199413065,0.25,0.0765333333333333,-0.604449340095806,0.25,0.000566666666666667,-2.76930490866057,-0.604449340095806,"effect",2.16485556856476,"clean_evidence_disfavored",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,5.55111512312578e-17,1.11022302462516e-16,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T154011_cai2012_caffeine_total_cholesterol"
"nutrition_v4","nutrition_domain","caffeine","cai2012_caffeine_triglycerides","nutrition_v4__caffeine__cai2012__triglycerides__main","cai2012","cai2012",2012,"triglycerides","main",NA,NA,"caffeine","cai2012_caffeine_triglycerides",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",11,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.26597619243022,0.0639005459705607,0.472228642494908,0.0776125058732833,-0.100313566531125,0.385354932766979,0.24353341706183,0.046925105921022,0.486513173032062,0.243284583091886,0,0.501190614675577,0.5,0.4189,-0.142140515077554,0.5,0.914433333333333,1.02884743482092,0.5,0.738833333333333,0.451628734830744,0.5,0.261166666666667,-0.451628734830744,0.25,0.216933333333333,-0.0803511931864359,0.25,0.0442333333333333,-0.85748095712326,0.25,0.201966666666667,-0.119620079431129,0.25,0.536866666666667,0.541281654937734,0.25,0.216933333333333,-0.0803511931864359,0.25,0.0442333333333333,-0.85748095712326,-0.0803511931864359,"effect",0.777129763936825,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T154042_cai2012_caffeine_triglycerides"
"nutrition_v4","nutrition_domain","caffeine","chen2024_caffeine_time_trial_performance_excl","nutrition_v4__caffeine__chen2024__time_trial_performance__excl","chen2024","chen2024",2024,"time_trial_performance_excl","exclusion_sensitivity","chen2024_caffeine_time_trial_performance","unspecified__see_data_dictionary","caffeine","chen2024_caffeine_time_trial_performance_excl",TRUE,NA,"sidecar_v4.0","rigor_selected_v1",14,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.430223205751633,0.194123675121058,0.6648851533716,0.0577964731383973,-0.605045218346424,0.550604714621932,0.133815984596678,0.00557331521841987,0.382010387875673,0.0538896557024763,0,0.3621660000363,0.5,0.463066666666667,-0.0642768462966692,0.5,0.3445,-0.279383469782458,0.5,0.854466666666667,0.768732648606814,0.5,0.145533333333333,-0.768732648606814,0.25,0.144833333333333,-0.294060983487056,0.25,7e-04,-2.67747659267692,0.25,0.318233333333333,0.146231158931961,0.25,0.536233333333333,0.540175531406412,0.25,0.144833333333333,-0.294060983487056,0.25,7e-04,-2.67747659267692,-0.294060983487056,"effect",2.38341560918986,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T154109_chen2024_caffeine_time_trial_performance_excl"
"nutrition_v4","nutrition_domain","caffeine","grgic2018_caffeine_max_muscular_strength","nutrition_v4__caffeine__grgic2018__max_muscular_strength__main","grgic2018","grgic2018",2018,"max_muscular_strength","main",NA,NA,"caffeine","grgic2018_caffeine_max_muscular_strength",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",11,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.19388199446994,0.0124754862875492,0.375197426562945,-0.000931259738755024,-0.204137736247456,0.196804378853373,0.0900813696854444,0.00348783985534868,0.27356497569536,0.0255358428903198,0,0.21320308898522,0.5,0.2008,-0.599891766744944,0.5,0.253033333333333,-0.470123485181957,0.5,0.934866666666667,1.15694637031629,0.5,0.0651333333333333,-1.15694637031629,0.25,0.0378,-0.928652298009658,0.25,0.0273333333333333,-1.07415018045405,0.25,0.163,-0.23341659886964,0.25,0.771866666666667,1.00647479474537,0.25,0.0378,-0.928652298009658,0.25,0.0273333333333333,-1.07415018045405,-0.928652298009658,"effect",0.145497882444396,"clean_evidence_disfavored",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T154138_grgic2018_caffeine_max_muscular_strength"
"nutrition_v4","nutrition_domain","caffeine","grgic2019_caffeine_isokinetic_muscular_strength","nutrition_v4__caffeine__grgic2019__isokinetic_muscular_strength__main","grgic2019","grgic2019",2019,"isokinetic_muscular_strength","main",NA,NA,"caffeine","grgic2019_caffeine_isokinetic_muscular_strength",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",10,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.158918285875783,0.0314324289636139,0.286955157004701,0.0541157225275535,0,0.242313172495103,0.164133279147092,0.0598596942709404,0.320787572885755,0.175417914709329,0.0376065933043384,0.336627143147468,0.5,0.405266666666667,-0.16658139598494,0.5,0.978633333333333,1.66088322942692,0.5,0.6429,0.255353575568709,0.5,0.3571,-0.255353575568709,0.25,0.2455,-0.0104864929329589,0.25,0.1116,-0.423823100555214,0.25,0.159766666666667,-0.243792477674092,0.25,0.483133333333333,0.447809732068433,0.25,0.2455,-0.0104864929329589,0.25,0.1116,-0.423823100555214,-0.0104864929329589,"effect",0.413336607622255,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T154209_grgic2019_caffeine_isokinetic_muscular_strength"
"nutrition_v4","nutrition_domain","caffeine","irwin2020_caffeine_attention_accuracy","nutrition_v4__caffeine__irwin2020__attention_accuracy__main","irwin2020","irwin2020",2020,"attention_accuracy","main",NA,NA,"caffeine","irwin2020_caffeine_attention_accuracy",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",27,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.661011334280292,0.462397082258967,0.869697940324044,0.0741574571987659,-0.167039216511573,0.596306199041297,0.398847245962554,0.238304461505748,0.599523451570534,0.357720440049917,0.216035191644068,0.531988637541181,0.5,0.3575,-0.254597085866233,0.5,1,Inf,0.5,0.9773,1.63400204157717,0.5,0.0227,-1.63400204157717,0.25,0.0227,-1.15688078685751,0.25,0,-Inf,0.25,0.3348,0.178954463493403,0.25,0.6425,0.731718340585895,0.25,0.0227,-1.15688078685751,0.25,0,-Inf,-1.15688078685751,"effect",Inf,"clean_evidence_disfavored",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,1.11022302462516e-16,2.22044604925031e-15,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T154236_irwin2020_caffeine_attention_accuracy"
"nutrition_v4","nutrition_domain","caffeine","irwin2020_caffeine_attention_speed","nutrition_v4__caffeine__irwin2020__attention_speed__main","irwin2020","irwin2020",2020,"attention_speed","main",NA,NA,"caffeine","irwin2020_caffeine_attention_speed",FALSE,NA,"sidecar_v4.0","rigor_selected_v1",44,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.673058760700146,0.525964246997269,0.823205554060282,0.344009339499451,0,0.77053520555568,0.359304737965929,0.224893195481006,0.515126967879386,0.396637369046593,0.229044923978115,0.723161574906048,0.5,0.720333333333333,0.410892806054541,0.5,0.999966666666667,4.4771067779957,0.5,0.7722,0.530176077544949,0.5,0.2278,-0.530176077544949,0.25,0.2278,-0.0530548228252863,0.25,0,-Inf,0.25,0.492533333333333,0.464149361872883,0.25,0.279666666666667,0.0662284486651215,0.25,0.2278,-0.0530548228252863,0.25,0,-Inf,-0.0530548228252863,"effect",Inf,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,0,0,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T154305_irwin2020_caffeine_attention_speed"
"nutrition_v4","nutrition_domain","caffeine","irwin2020_caffeine_executive_function_excl","nutrition_v4__caffeine__irwin2020__executive_function__excl","irwin2020","irwin2020",2020,"executive_function_excl","exclusion_sensitivity","irwin2020_caffeine_executive_function","unspecified__see_data_dictionary","caffeine","irwin2020_caffeine_executive_function_excl",TRUE,NA,"sidecar_v4.0","rigor_selected_v1",37,"brma","muplus_tauplus_omega0",FALSE,FALSE,0.288546498828819,0.11691049231487,0.463965194826029,0.0970553270688047,-0.0761540873902104,0.394119040092136,0.331185223980977,0.0575462134919088,0.566563060640778,0.28784301729649,0,0.56274449659714,0.5,0.476433333333333,-0.0409698500268024,0.5,0.8664,0.811911985477737,0.5,0.7595,0.499412697488955,0.5,0.2405,-0.499412697488955,0.25,0.229466666666667,-0.0489505694191603,0.25,0.0110333333333333,-1.47535366007961,0.25,0.246966666666667,-0.00705460606944773,0.25,0.512533333333333,0.498898446654376,0.25,0.229466666666667,-0.0489505694191603,0.25,0.0110333333333333,-1.47535366007961,-0.0489505694191603,"effect",1.42640309066045,"inconclusive_clean_evidence",FALSE,TRUE,0,TRUE,TRUE,TRUE,"ok",0,1.11022302462516e-16,4.44089209850063e-16,5000,2000,500,6,1,50926,"PSMA","positive","7011227781d12d21","845d44c51d14c080","4.0.0","0.3.0","SMD","RoBMA4::RoBMA(model_type=PSMA)+brma","20260516T154339_irwin2020_caffeine_executive_function_excl"
